DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Germany,2018,1.00,d,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Germany,2019,1.07,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Germany,2020,1.07,bd,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Germany,2021,0.75,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Germany,2022,1.11,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Germany,2023,0.42,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Denmark,2015,0.63,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Denmark,2016,0.72,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Denmark,2017,0.58,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Denmark,2018,0.60,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Denmark,2019,0.54,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Denmark,2020,0.39,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Denmark,2021,0.54,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Denmark,2022,0.67,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Denmark,2023,0.90,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Estonia,2015,2.12,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Estonia,2016,2.40,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Estonia,2017,2.03,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Estonia,2018,1.94,,
